Movie,Comments,Frequency [Hz] (row 2)  /  Volume [dBFS] (row 3+),,,,,,,,,,,,,,,,,,
The Hurt Locker,,-17,-17,-17,-19,-19,-17,-17,-15,-16,-16,-16,-14,-14,-16,-16,,-13,-14,-14
Ice Age: DotD,,,-20,-20,-20,,,,,,,,,,,,,,,
Ice Age 2002,,,,,,,,,,,,,,,,-16,,,,
Immortals,,,-14,-19,-19,-19,-16,,-17,,-19,,,-16,,-17,,,,
Incarnate 2016,,-15,-15,-15,-15,-15,,,,,,,,,,,,-17,,
Inception,,,,-17,-17,-17,,,,,,,,,,,,,,
The Incredible Hulk 2008,,-16,-16,-13,-13,-14,-14,-14,-14,-14,-11,-9,,,,-20,,,,
The Incredibles,,,,,,-20,,,,,,,,,,,,,,
Inferno (2016),,,-18,,,,-14,,,,,,,,,,,,,
Insurgent,,-20,-20,-20,-20,-20,-12,,,,,,,,,,,,,
Interstellar,,-17,-17,-18,-18,,,,,,,,,,,,,,,
Ip Man 3,,,,,,-20,,,,-19,,,,,,,,,,
Iron Man 2,,-20,,,,,,,,,,,,,,,,,,
Isle of Dogs,,,-20,-20,,,,,,,,,,,,,,,,
IT 2017,,-17,,,,,,,,,,,,,,,,,,
Jawbone,,-18,-18,-18,-18,-18,,,,,,,,,,,,,,
John Wick Chapter 3,,,,,-19,,,,,,,,,,,,,,,
Jupiter Ascending,,-17,,-13,-18,-18,-17,-18,-17,-18,,,,,,,,,,
Kingsglaive: Final Fantasy XV,,,,,,-17,-17,-17,-17,,,,,,,,,,,
Kong Skull Island,,-14,-14,-14,-12,-12,,,-16,-20,,,,,,,,,,
Kubo and The Two Strings,,-16,,-17,,,,,,,,,,,,,,,,
The Lazarus Effect,,,,,,-17,,,,-15,,,,,,,,,,
Life 2017,,,-16,,,-20,,,-17,,,,,,,,,,,
Logan,,-11,-19,-17,,,,,,,,,,,,,,,,
Lone Survivor,,,,,,,,,,,,,,,-14,-14,,,,
Looper,,,-20,,,,,-20,,,,,,,,,,,,
Mad Max Fury Road,,-19,,-17,-17,-17,-14,-14,-14,-14,-17,,,,,,,,,
The Mandela Effect,,-19,-19,-17,-16,,,,,,,,,,,,,,,
The Matrix,,,-17,,,,,,,,,,,,,,,,,
The Matrix Rev,,-17,-17,-17,,,,,,,,,,,,,,,,
The Midnight Sky,,-17,-16,,,,,,,,,,,,,,,,,
Midnight Special,,-15,,-17,,,,-20,,,,,,,,,,,,
Midway,,-15,-17,,-18,,-20,,,,,,,,,,,,,
Monsters: Dark Continent,,,-19,,-20,,-16,,,,,,,,,,,,,
Mortal Kombat 2021 (DD+ 5.1),,-20,,,,,,,,,,,,,,,,,,
Nightbooks,,-12,,-11,,,,,,,,,,,,,,,,
The Nun,,-10,-10,-10,-10,-18,-17,-17,,,,,,,,,,,,
Oblivion,,,-20,-20,,,,,,,,,,,,,,,,
Occupation Rainfall,,-18,,-17,-18,,,,,,,,,,,,,,,
Old,,,,-16,,,,,,,,,,,,,,,,
Olympus Has Fallen,,-10,-10,-10,-13,-17,,-18,-18,-18,,-20,-20,-20,,,,-20,,
The Omen(2006),,,,,,-20,,,,,,,,,,,,,-13,
Only The Brave,,-17,,-20,-20,,,,,,,,,,,,-20,,,
Overlord,,-15,-15,,,,,,,,,,,,,,,,,
Pixels,,-20,,-17,-17,-18,-16,,,,,,-20,,,-14,,-15,,
Poltergeist 2015,,-19,-20,,,-20,,,,,,,,,,,,,,
Power Rangers (2017),,-14,-13,-14,,,,,,,,,,,,,,,,
"Pride, Prejudice and Zombies",,,,,,,,,,,-15,,,,,,,,,
Project Power,,-14,,,,,,,,,,,,,,,,,,
Promising Young Woman,,-10,-11,,-7,,,,,,,,,,,,,,,
The Quake,,,,-13,-15,-15,,,,,,,,,,,,,,
Quarantine 2: Terminal,,,,,,,,,-20,-14,,,,,,,,,,
Ralph Breaks the Internet,,-13,-13,-17,,,-19,-17,,-18,,,,,,,,,,
Regression,,,,-20,,,-13,,,-18,,,,,,,,,,
Resident Evil Vendetta,,,,,,,,,,,-20,,,,,,,,,
Revolt,,-17,-17,-17,-18,-16,-19,-17,,-18,,,,,,,,,,
Robocop,,,-18,-18,-18,,,,,,,,,,,,,,,
Rogue One ASWS,,-20,-20,,,,,,,,,,,,,,,,,
Sicario,,,,,-17,,-18,-20,-20,-20,-20,-20,,,-17,-18,-18,-20,,
Sinister,,-17,,-19,,-20,,,-20,,,,,,,-20,,,,
Scott Pilgrim v. The World,,-17,-17,-17,-19,-19,-19,,,,,,,,,,,,,
Shazam,,-20,-20,-20,,,,,,,,,,,,,,,,
Sonic The Hedgehog,,-14,,,,,,,,,,,,,,,,,,
Spiderman ItSv,,-13,-15,-15,-17,,,,,,,,,,,,,,,
Spiderman Homecoming,,-16,-16,-16,,,,,,,,,,,,,,,,
Star Wars: TFA,,,,-20,-20,-18,,,,,,,,,,,,,,
Tomorrowland,,,,,,,,,,,-18,,,,,,,,,
Train to Busan,,-19,,,-20,-20,-20,,,,,,,,,,,,,
Underwater,,-13,-12,-12,-12,,-18,-18,-18,-18,,,,,,,,,,
Valkyrie 2008,,-17,-17,-17,-17,-17,,,,,-17,,,,,-20,,,,
Venom,,-15,-15,-15,,,,,,,,,,,,,,,,
Vivarium,,-20,-16,-20,-15,-20,,,-14,,,,,,,,,,,
Voyagers (DD+),,,,,,,-19,,,,,,,,,,,,,
War of the Worlds 2005 (Blu-Ray not UHD),,-15,-15,-15,,-17,,-16,-16,,-20,,-15,-15,,-16,-16,,,
The Wave(2015),,,-17,-17,-17,,,,,,,,,,,,,,,
The Wave(2019),,-13,,,,,,,,,,,,,,,,,,
The Wolverine,,-17,,-20,,-20,,,,-20,,,,,,,,,,
Wonder Woman,,,-20,,,,,-19,-19,-19,-19,-19,,,,,,,,
World War Z,,-14,-14,-14,,,,,,,,,,,,,,,,
X-Men: Apocalypse,,,,,,-20,,,,,,,,,,,,,,
X-Men: Dark Phoenix,,-20,-20,-20,-18,,,,,,,,,,,,,,,
X-Men: First Class,,-17,-15,-16,-15,-17,-17,-17,-18,-18,-18,,,,,-18,,-20,,
XXX RoXC,,-15,-15,-15,,,,,,,,,,,,,,,,
